items,hour,rain,event,kitchen_load,prep_time
pizza,4,0,0,12,19.7
"pasta, burger",6,0,0,14,26.2
"fried rice, veg biryani",0,1,0,2,26.2
"veg biryani, burger, paneer butter masala",20,0,0,7,35.9
"masala dosa, veg biryani, fried rice",11,0,0,2,25.6
"chicken biryani, tandoori chicken, masala dosa",20,0,0,18,36.5
"masala dosa, pasta",3,0,0,10,22.8
"pasta, masala dosa, fried rice",16,0,1,2,36.2
pizza,9,0,0,5,19.1
"chicken biryani, fried rice, masala dosa",3,0,0,16,34.0
"tandoori chicken, naan",11,0,0,16,27.6
"chicken biryani, pizza, masala dosa",16,0,0,13,29.4
paneer butter masala,16,0,0,12,19.6
"chicken biryani, tandoori chicken",6,1,0,18,34.7
masala dosa,21,0,0,12,22.7
"fried rice, pizza",5,0,0,9,26.4
"chicken biryani, paneer butter masala, masala dosa",5,0,0,13,31.0
"chicken biryani, pasta, pizza",6,0,0,15,34.0
"tandoori chicken, fried rice, burger",12,0,0,6,35.3
"pizza, fried rice",0,0,0,5,22.5
"chicken biryani, pasta, masala dosa",19,0,0,7,28.8
"veg biryani, pasta, naan",18,0,0,16,33.8
"burger, tandoori chicken",3,0,0,5,23.4
"masala dosa, pasta, burger",6,0,0,9,31.2
"chicken biryani, burger",11,0,0,5,22.7
"chicken biryani, naan, fried rice",5,1,0,7,31.8
paneer butter masala,9,0,1,4,24.8
"chicken biryani, tandoori chicken",3,0,0,9,25.7
"tandoori chicken, pasta",4,0,0,19,28.3
"masala dosa, pasta, veg biryani",4,0,0,4,25.0
"tandoori chicken, veg biryani, burger",7,0,0,9,26.1
"masala dosa, veg biryani",2,1,0,3,28.6
naan,20,0,0,9,25.6
"paneer butter masala, naan, tandoori chicken",19,0,0,10,28.2
chicken biryani,4,0,0,3,13.7
"paneer butter masala, burger, naan",0,0,0,17,35.7
"pasta, burger, masala dosa",23,0,0,4,25.8
paneer butter masala,16,0,0,8,18.4
burger,5,0,1,19,31.7
"pasta, paneer butter masala",3,0,0,17,29.7
chicken biryani,4,0,0,4,20.3
"chicken biryani, paneer butter masala",7,1,0,4,26.6
"pasta, masala dosa, fried rice",13,1,1,17,50.7
"masala dosa, tandoori chicken",6,0,0,4,21.5
"tandoori chicken, chicken biryani",4,1,0,15,31.1
"fried rice, pizza, paneer butter masala",21,1,0,15,43.0
"masala dosa, paneer butter masala",11,0,0,14,27.0
veg biryani,21,0,0,19,26.4
burger,11,0,0,2,15.7
"naan, chicken biryani",1,1,0,10,27.2
pasta,0,0,0,19,24.2
"chicken biryani, pizza, tandoori chicken",9,0,0,17,31.8
"chicken biryani, naan, tandoori chicken",5,0,0,5,26.3
naan,20,0,0,8,23.2
"masala dosa, chicken biryani",2,0,0,14,26.9
naan,5,0,0,11,17.1
naan,22,0,0,1,20.8
tandoori chicken,2,0,0,16,23.0
"pizza, fried rice, paneer butter masala",16,0,0,5,28.6
"burger, pasta",16,0,0,6,24.4
"veg biryani, tandoori chicken, fried rice",19,1,0,8,35.3
"pasta, tandoori chicken",6,0,0,6,26.6
"veg biryani, pizza, tandoori chicken",9,0,0,17,33.0
"burger, fried rice",13,1,0,2,29.4
"paneer butter masala, tandoori chicken",13,0,0,9,30.4
fried rice,17,0,0,4,15.4
"chicken biryani, paneer butter masala, masala dosa",23,1,1,7,39.9
"paneer butter masala, tandoori chicken, veg biryani",3,0,0,13,31.3
"pasta, pizza",4,0,0,10,24.7
pasta,12,1,0,17,32.1
masala dosa,18,0,0,9,20.2
"tandoori chicken, pizza",23,0,0,3,17.8
pasta,16,1,0,17,28.3
"tandoori chicken, chicken biryani",17,0,0,7,17.7
"chicken biryani, tandoori chicken",22,1,0,18,33.2
"fried rice, pasta, tandoori chicken",3,0,0,18,34.5
"chicken biryani, naan",18,0,0,18,31.1
"naan, tandoori chicken",18,0,0,9,23.7
"pizza, veg biryani",18,1,1,5,33.6
"burger, paneer butter masala, fried rice",9,0,0,7,28.4
"chicken biryani, burger",15,0,0,16,29.0
chicken biryani,21,0,0,4,21.5
naan,9,0,0,10,20.5
"fried rice, veg biryani",15,0,0,6,23.2
"tandoori chicken, fried rice",8,0,0,12,29.2
"burger, naan",9,1,0,9,29.0
"pasta, veg biryani, paneer butter masala",3,0,0,6,31.1
burger,13,0,1,19,37.5
fried rice,11,0,0,18,23.1
tandoori chicken,1,0,1,10,24.0
"tandoori chicken, fried rice, chicken biryani",11,0,0,10,29.8
"fried rice, veg biryani, burger",15,0,0,6,29.6
fried rice,10,0,0,6,19.9
"pizza, veg biryani, pasta",12,1,1,3,37.9
"masala dosa, fried rice, pasta",10,0,0,12,30.0
pasta,23,0,0,14,21.2
paneer butter masala,6,0,0,3,18.5
"burger, paneer butter masala",17,0,1,13,30.1
pasta,12,0,0,15,25.7
chicken biryani,15,0,0,12,22.9
"tandoori chicken, chicken biryani",11,1,0,13,31.7
masala dosa,9,0,1,1,19.9
"veg biryani, pizza",11,0,0,5,18.6
"masala dosa, pizza",20,0,0,10,30.6
pizza,13,0,0,7,28.1
pasta,5,0,1,2,22.5
"pizza, masala dosa, paneer butter masala",4,0,1,11,34.2
"fried rice, burger, masala dosa",13,0,0,14,38.3
"veg biryani, chicken biryani",15,0,0,17,29.7
"fried rice, pasta",15,1,0,1,26.9
tandoori chicken,19,0,0,5,12.5
"pasta, tandoori chicken, naan",9,0,0,10,29.1
chicken biryani,10,1,0,16,22.8
chicken biryani,5,0,0,2,11.3
"paneer butter masala, veg biryani",16,0,0,7,27.6
"pizza, burger, pasta",19,1,0,13,33.7
"masala dosa, fried rice",21,0,1,2,31.8
burger,5,1,0,16,26.6
veg biryani,3,0,0,19,23.4
"naan, burger, fried rice",8,0,0,11,32.0
chicken biryani,23,1,1,4,28.0
"pizza, naan",2,1,0,1,29.4
masala dosa,8,0,0,11,22.7
"chicken biryani, pizza, tandoori chicken",19,0,0,19,36.9
"masala dosa, pizza, tandoori chicken",9,1,0,6,31.7
paneer butter masala,21,1,0,12,30.3
fried rice,23,0,1,3,23.2
"paneer butter masala, pasta, fried rice",11,0,0,13,29.4
chicken biryani,0,0,0,15,24.7
"pizza, masala dosa",20,0,0,5,28.4
paneer butter masala,12,1,1,11,34.1
naan,18,0,0,6,23.6
tandoori chicken,3,0,1,8,26.1
"masala dosa, pasta, fried rice",2,0,0,6,29.1
"fried rice, veg biryani, pasta",21,0,0,18,40.4
"burger, tandoori chicken",12,0,0,15,34.7
"fried rice, pizza",4,0,0,13,28.1
"masala dosa, paneer butter masala, chicken biryani",14,0,0,9,29.7
"tandoori chicken, naan, pasta",0,1,0,9,31.3
"paneer butter masala, veg biryani",4,0,1,13,35.9
pizza,3,0,0,7,22.2
"veg biryani, chicken biryani",6,0,0,14,29.1
chicken biryani,13,0,0,10,23.4
paneer butter masala,17,0,0,3,13.2
"paneer butter masala, burger",8,0,0,18,30.9
chicken biryani,3,1,0,5,21.8
tandoori chicken,22,0,0,1,15.5
veg biryani,19,0,1,9,27.5
"paneer butter masala, masala dosa, pasta",3,0,0,12,29.4
"masala dosa, burger, paneer butter masala",0,0,0,10,30.0
"paneer butter masala, pasta, veg biryani",7,1,0,17,39.7
"naan, masala dosa",7,0,0,15,29.2
chicken biryani,22,0,0,11,23.9
paneer butter masala,18,1,0,11,21.4
"pizza, masala dosa, fried rice",6,0,0,7,26.4
"naan, veg biryani",6,1,0,1,24.1
"pizza, fried rice",12,1,0,4,28.5
"naan, paneer butter masala",16,0,0,13,24.6
chicken biryani,19,0,0,16,21.8
"chicken biryani, pasta",18,0,0,19,30.2
paneer butter masala,16,0,0,4,15.2
pasta,20,0,0,18,31.7
"veg biryani, pizza, paneer butter masala",15,0,0,12,28.5
"paneer butter masala, masala dosa, pizza",16,0,0,17,33.8
"fried rice, paneer butter masala",17,1,1,5,34.4
"naan, fried rice, pizza",11,0,0,14,29.8
masala dosa,19,0,0,19,26.1
"naan, fried rice",13,1,0,4,27.9
pasta,3,0,0,17,27.4
veg biryani,4,0,0,11,20.8
"naan, masala dosa, pasta",2,0,0,4,26.8
"tandoori chicken, chicken biryani, fried rice",3,1,0,18,35.1
paneer butter masala,3,0,0,4,18.7
burger,21,0,0,12,27.6
"paneer butter masala, burger",20,0,0,6,28.3
fried rice,3,0,0,1,18.4
naan,16,0,1,9,26.5
"veg biryani, tandoori chicken",6,0,0,3,20.9
"paneer butter masala, burger, fried rice",10,1,0,9,31.5
"naan, tandoori chicken",23,0,1,14,37.7
"paneer butter masala, veg biryani",16,1,0,9,27.8
"veg biryani, chicken biryani",15,0,0,12,26.4
"paneer butter masala, pasta, veg biryani",11,1,0,14,33.0
veg biryani,5,0,0,10,18.5
"burger, masala dosa, chicken biryani",3,0,0,7,29.6
fried rice,11,0,0,3,16.5
"pizza, chicken biryani, fried rice",10,1,0,11,33.8
pasta,16,0,0,12,24.5
"paneer butter masala, pasta",18,0,0,4,19.0
tandoori chicken,18,0,0,18,21.9
"paneer butter masala, chicken biryani, tandoori chicken",2,0,0,15,31.5
"masala dosa, veg biryani",0,1,0,19,35.4
"paneer butter masala, pasta",14,0,0,8,23.0
"pizza, paneer butter masala",22,0,0,19,29.0
"tandoori chicken, burger, pizza",17,0,0,19,34.5
tandoori chicken,9,1,0,16,26.7
"tandoori chicken, paneer butter masala",15,0,0,5,25.0
veg biryani,6,0,0,15,23.3
"fried rice, naan",10,0,0,18,30.7
pasta,0,0,1,13,28.5
"chicken biryani, naan, masala dosa",21,0,0,17,38.9
pizza,16,1,1,10,31.3
"paneer butter masala, tandoori chicken, masala dosa",1,0,0,6,31.2
"pasta, masala dosa",16,1,0,7,26.9
veg biryani,23,1,0,8,23.2
"tandoori chicken, naan",23,0,0,9,23.4
veg biryani,21,0,0,13,24.7
"paneer butter masala, pizza, fried rice",19,1,1,3,34.8
"pizza, masala dosa, pasta",20,1,0,16,41.1
naan,14,0,0,18,21.5
"pizza, naan, fried rice",20,0,0,18,40.5
"naan, pizza",22,0,0,5,25.4
"burger, pasta",7,0,0,3,20.1
"naan, masala dosa, veg biryani",2,0,0,10,29.6
"paneer butter masala, tandoori chicken, masala dosa",5,0,0,19,35.8
pizza,15,0,0,6,17.5
"paneer butter masala, veg biryani, masala dosa",12,1,0,16,43.1
"pizza, burger, paneer butter masala",17,0,0,18,36.6
"chicken biryani, burger, paneer butter masala",14,1,0,10,31.7
"veg biryani, chicken biryani",4,0,0,12,27.9
chicken biryani,19,1,0,3,19.4
"naan, burger",4,1,0,14,30.8
"veg biryani, pasta, burger",8,0,1,3,34.2
"veg biryani, fried rice",1,0,0,1,19.1
"pasta, naan, burger",7,1,0,11,30.4
"pizza, veg biryani, tandoori chicken",7,0,0,9,26.1
pasta,19,1,1,6,30.1
"pizza, tandoori chicken, chicken biryani",20,0,0,6,35.0
"chicken biryani, naan",22,0,0,19,28.4
veg biryani,5,0,0,19,27.0
paneer butter masala,16,0,0,15,23.9
"burger, masala dosa, fried rice",12,0,0,5,35.7
fried rice,7,0,0,16,22.4
"masala dosa, paneer butter masala, veg biryani",10,0,0,13,31.7
paneer butter masala,9,0,0,8,19.4
naan,15,0,0,13,20.3
"masala dosa, veg biryani",19,0,0,10,25.6
fried rice,0,1,0,7,20.4
masala dosa,8,0,0,18,23.8
"fried rice, masala dosa",0,0,0,15,30.2
"naan, burger, pasta",11,1,0,17,36.6
"burger, fried rice, pasta",0,0,0,19,33.3
"naan, masala dosa",6,1,0,1,25.7
pasta,8,1,0,1,18.8
"paneer butter masala, tandoori chicken",12,1,1,5,38.0
"pasta, veg biryani",1,0,0,10,23.2
"pizza, tandoori chicken, naan",15,0,0,16,32.0
"fried rice, veg biryani",12,0,0,16,28.9
masala dosa,17,0,1,4,25.5
"masala dosa, tandoori chicken, veg biryani",20,0,0,6,36.2
burger,0,0,0,6,17.5
"paneer butter masala, veg biryani",4,0,0,1,20.7
"chicken biryani, burger, naan",15,1,0,13,34.6
pizza,7,1,0,7,24.1
paneer butter masala,12,0,1,10,30.3
paneer butter masala,3,0,0,4,18.4
tandoori chicken,18,0,0,9,19.1
"pizza, chicken biryani",11,0,1,10,29.1
pasta,23,0,0,11,20.8
pizza,17,1,0,4,18.8
"paneer butter masala, burger, fried rice",12,0,0,5,33.2
"naan, fried rice",4,0,0,12,27.4
"masala dosa, pizza, naan",14,0,0,11,30.2
"tandoori chicken, naan, fried rice",22,0,1,8,36.6
"paneer butter masala, masala dosa, veg biryani",19,0,0,10,30.8
"tandoori chicken, fried rice, pasta",20,0,1,12,41.7
"burger, paneer butter masala",16,0,0,7,23.6
"burger, paneer butter masala, masala dosa",22,0,0,15,32.8
"tandoori chicken, pizza, paneer butter masala",10,0,0,18,33.7
"paneer butter masala, veg biryani, pasta",5,0,0,14,29.2
"tandoori chicken, chicken biryani, veg biryani",20,0,0,18,38.5
"fried rice, pasta, masala dosa",1,0,0,17,33.6
"burger, fried rice",3,0,0,4,24.5
"naan, pasta",11,0,0,15,24.8
"veg biryani, tandoori chicken, pizza",16,0,1,12,38.9
"pizza, naan",21,0,0,6,26.5
"paneer butter masala, burger",17,0,0,6,22.2
burger,22,0,1,11,25.6
naan,10,1,0,11,24.2
"pizza, masala dosa",15,0,0,2,17.6
tandoori chicken,0,0,1,18,31.3
"chicken biryani, masala dosa, paneer butter masala",21,0,0,8,31.9
"burger, pizza, fried rice",4,0,0,5,27.5
tandoori chicken,21,0,0,8,21.2
"burger, pasta, fried rice",7,0,0,8,26.1
"pasta, fried rice, burger",20,0,0,14,36.6
chicken biryani,15,0,0,5,16.3
"tandoori chicken, fried rice",9,0,0,10,23.0
"pizza, veg biryani",13,0,0,7,24.8
burger,20,0,0,9,25.7
chicken biryani,2,0,0,14,24.8
"pasta, chicken biryani, veg biryani",12,0,0,15,39.7
"paneer butter masala, veg biryani, masala dosa",20,0,0,15,33.1
"paneer butter masala, naan, tandoori chicken",17,1,0,19,37.1
"pasta, chicken biryani",10,1,0,2,24.4
"chicken biryani, pizza",2,0,0,8,26.4
"tandoori chicken, pasta",23,0,0,12,28.5
"tandoori chicken, fried rice",15,0,0,1,19.7
"burger, pasta",19,1,0,1,24.4
"burger, masala dosa",6,0,0,8,22.3
"masala dosa, fried rice",20,0,0,18,34.1
naan,0,1,0,18,26.3
"tandoori chicken, pizza",6,0,0,14,28.7
"veg biryani, fried rice, masala dosa",4,0,0,7,31.6
"burger, paneer butter masala",22,0,0,8,23.8
"masala dosa, chicken biryani",5,0,0,17,28.4
"pasta, fried rice",18,0,0,1,22.5
pizza,4,1,0,5,20.7
"veg biryani, burger",2,0,0,15,26.8
"fried rice, naan",20,0,0,17,35.8
"pizza, tandoori chicken, naan",17,1,0,11,31.2
masala dosa,22,0,0,14,20.6
burger,18,0,0,12,22.0
fried rice,8,0,0,6,17.4
masala dosa,9,0,0,11,23.0
"chicken biryani, naan, masala dosa",9,0,0,7,27.4
"pizza, chicken biryani",1,0,1,16,35.0
"naan, tandoori chicken, veg biryani",20,0,1,2,38.3
chicken biryani,10,0,0,17,24.3
fried rice,9,0,0,18,20.3
burger,1,0,0,10,22.1
"tandoori chicken, masala dosa, pasta",22,0,0,8,32.2
"naan, fried rice, pasta",15,0,0,13,33.4
"pasta, tandoori chicken",15,1,1,11,37.6
paneer butter masala,4,1,0,3,22.2
veg biryani,23,1,0,18,30.8
"veg biryani, chicken biryani, paneer butter masala",9,0,0,17,31.6
"tandoori chicken, fried rice, pasta",11,1,0,16,37.6
"paneer butter masala, veg biryani",6,0,0,18,28.8
"tandoori chicken, veg biryani",2,1,0,19,31.6
"pizza, burger, paneer butter masala",7,0,0,4,27.0
"burger, veg biryani, masala dosa",10,0,0,12,30.5
"tandoori chicken, pizza",18,0,0,7,23.1
"fried rice, naan",18,0,0,12,24.6
"tandoori chicken, pizza, pasta",6,0,0,5,27.4
"pizza, chicken biryani, burger",12,1,0,11,38.4
pasta,16,0,0,5,14.2
"paneer butter masala, pasta, naan",23,0,1,16,42.1
"tandoori chicken, pizza, chicken biryani",5,0,0,14,34.0
"pasta, tandoori chicken",2,0,0,11,23.3
pizza,8,0,0,18,27.9
"chicken biryani, paneer butter masala, pizza",9,1,0,14,33.7
"masala dosa, chicken biryani, pizza",2,0,0,2,26.3
"naan, tandoori chicken, pizza",13,1,0,17,41.5
"tandoori chicken, pizza, veg biryani",6,0,0,17,34.8
"burger, naan",13,0,0,10,32.8
"veg biryani, pizza",18,0,0,4,21.5
"veg biryani, fried rice",6,0,0,12,26.5
fried rice,13,0,0,19,27.5
"veg biryani, pasta",0,1,0,16,30.7
"burger, naan, paneer butter masala",9,0,0,12,32.0
"chicken biryani, pizza, masala dosa",4,0,0,1,23.4
"pizza, naan, tandoori chicken",12,1,0,7,32.3
"veg biryani, pasta, masala dosa",17,0,0,7,28.4
"pasta, naan, chicken biryani",1,0,0,4,25.3
tandoori chicken,21,0,1,19,35.8
"paneer butter masala, pizza, burger",7,0,0,7,28.8
"masala dosa, veg biryani",4,0,0,13,24.9
burger,7,0,0,4,18.3
"pizza, burger, chicken biryani",9,0,0,16,34.3
pizza,0,0,0,7,19.0
"veg biryani, naan, chicken biryani",15,0,0,2,25.2
"chicken biryani, naan, paneer butter masala",4,0,0,7,27.9
"fried rice, paneer butter masala",16,1,0,11,33.1
"tandoori chicken, pasta",14,0,0,5,20.8
"pizza, fried rice",11,0,0,9,24.7
"fried rice, tandoori chicken, burger",20,0,0,11,33.8
"masala dosa, pasta",13,0,0,1,23.7
pizza,16,0,0,5,20.3
"naan, pasta",1,1,0,2,21.7
"pizza, tandoori chicken",10,0,0,13,27.0
"naan, burger, veg biryani",1,0,0,7,29.4
"paneer butter masala, tandoori chicken",8,0,0,3,22.0
"masala dosa, pizza",20,1,1,15,42.5
masala dosa,3,0,0,13,23.7
"tandoori chicken, pizza, pasta",12,0,0,14,35.2
burger,22,1,0,16,23.0
"naan, tandoori chicken",21,1,0,12,34.3
paneer butter masala,8,0,0,11,22.0
fried rice,13,0,0,10,25.2
"pizza, fried rice, naan",10,1,0,13,32.3
"masala dosa, fried rice",15,0,0,18,27.3
"pizza, masala dosa, veg biryani",23,0,0,19,35.8
chicken biryani,15,0,0,6,23.9
fried rice,20,1,0,12,26.9
"burger, pizza, pasta",8,0,0,18,32.5
"paneer butter masala, tandoori chicken, masala dosa",22,0,0,18,37.3
veg biryani,5,1,0,9,22.9
"tandoori chicken, masala dosa, naan",21,0,0,6,34.7
"naan, pasta",15,0,0,6,22.4
"masala dosa, veg biryani",13,0,0,10,31.0
tandoori chicken,10,0,0,18,22.1
"tandoori chicken, burger",5,0,0,7,22.4
burger,8,0,0,11,16.5
pizza,21,1,0,4,26.7
"pizza, burger, paneer butter masala",4,0,0,18,32.7
"masala dosa, veg biryani, fried rice",8,0,0,11,32.3
"tandoori chicken, pizza",9,0,0,13,27.5
"naan, paneer butter masala",15,1,0,6,30.8
"chicken biryani, burger, veg biryani",15,0,0,19,34.5
"chicken biryani, veg biryani",22,0,0,10,24.2
"burger, paneer butter masala",0,0,0,10,23.7
"naan, pizza",20,0,0,10,31.3
pasta,8,0,0,10,21.2
"tandoori chicken, veg biryani, paneer butter masala",11,0,0,9,26.1
"burger, veg biryani",18,0,0,1,20.7
fried rice,14,0,1,4,25.5
"paneer butter masala, tandoori chicken, burger",22,0,0,18,34.6
"burger, masala dosa",2,0,0,15,28.0
"pasta, fried rice",1,0,0,1,23.3
pizza,23,0,0,2,16.7
naan,8,1,0,18,26.9
"naan, pasta, chicken biryani",9,0,0,13,31.1
chicken biryani,22,1,0,2,19.8
tandoori chicken,16,0,0,7,17.4
"chicken biryani, paneer butter masala",5,0,1,9,28.3
"chicken biryani, fried rice",13,0,0,7,27.1
"naan, pizza",17,0,1,9,30.1
"burger, pizza, tandoori chicken",9,0,0,5,27.4
"tandoori chicken, veg biryani",1,0,0,14,31.8
masala dosa,8,0,0,4,17.9
"masala dosa, chicken biryani, veg biryani",19,0,0,16,32.1
"masala dosa, veg biryani, pasta",7,0,0,10,30.8
veg biryani,7,0,0,7,22.8
"masala dosa, fried rice",3,0,0,9,26.8
tandoori chicken,17,1,0,1,21.0
masala dosa,23,0,0,1,15.9
burger,7,0,0,16,22.3
"pasta, naan, masala dosa",10,0,0,10,29.3
"burger, veg biryani",17,0,0,17,27.5
"chicken biryani, tandoori chicken",5,0,0,5,25.7
"pasta, naan, pizza",15,0,0,11,30.3
"pasta, naan, pizza",13,0,0,3,34.4
"naan, masala dosa, veg biryani",18,0,0,10,28.3
pizza,14,0,0,16,24.5
"veg biryani, masala dosa",23,0,0,16,27.3
"chicken biryani, veg biryani",15,0,1,5,31.6
"burger, chicken biryani",10,0,0,11,22.8
"fried rice, chicken biryani",13,0,0,15,28.1
"pizza, tandoori chicken",23,1,1,19,36.7
burger,16,1,0,19,29.1
"veg biryani, burger",22,1,0,4,23.3
burger,7,0,0,13,18.4
"veg biryani, chicken biryani, pasta",10,0,0,2,25.6
veg biryani,5,0,0,8,21.2
"burger, naan, pasta",1,0,0,1,24.2
"paneer butter masala, chicken biryani, burger",6,0,1,11,35.4
paneer butter masala,8,1,0,17,26.6
chicken biryani,0,0,1,18,28.6
"fried rice, naan",18,1,0,17,28.6
burger,0,0,0,3,15.7
"pasta, pizza",17,0,0,17,30.2
pizza,10,0,1,12,26.7
"paneer butter masala, pasta, veg biryani",0,1,0,3,27.0
masala dosa,16,0,0,12,24.0
"burger, fried rice",11,0,0,12,25.6
"naan, fried rice",12,1,0,11,33.9
"pasta, paneer butter masala",18,0,0,12,28.0
"paneer butter masala, fried rice, chicken biryani",22,1,0,7,29.6
masala dosa,14,0,0,19,23.3
"pizza, naan",7,0,0,13,26.4
pasta,16,1,0,16,26.2
"pasta, masala dosa, tandoori chicken",2,0,0,13,30.3
"naan, burger",22,0,1,16,34.7
"veg biryani, masala dosa",20,0,0,12,34.3
"veg biryani, fried rice",12,1,0,17,36.7
"chicken biryani, paneer butter masala, fried rice",16,0,0,12,31.1
"pasta, veg biryani",2,0,0,14,25.1
"masala dosa, chicken biryani",11,0,0,14,26.6
"veg biryani, paneer butter masala, tandoori chicken",1,0,0,11,29.7
burger,19,0,0,19,22.3
"tandoori chicken, paneer butter masala",16,0,0,8,21.3
"tandoori chicken, pizza, paneer butter masala",17,0,0,8,26.7
"pizza, veg biryani, fried rice",11,0,0,15,35.2
"naan, burger, pizza",22,0,0,15,30.4
"tandoori chicken, chicken biryani",22,0,1,17,34.4
"tandoori chicken, burger",0,0,0,5,23.8
"tandoori chicken, veg biryani",21,0,0,15,31.0
pasta,7,0,0,7,17.2
masala dosa,10,0,0,16,22.6
pasta,5,0,0,6,17.8
burger,12,0,0,19,30.4
"tandoori chicken, paneer butter masala, masala dosa",7,0,0,14,34.6
"pizza, veg biryani",0,0,0,19,27.0
"naan, chicken biryani, pasta",9,0,0,12,32.9
masala dosa,13,1,1,12,37.2
"pizza, burger, pasta",20,0,0,18,35.9
"burger, veg biryani",10,1,0,17,30.7
fried rice,14,0,0,9,20.1
"veg biryani, tandoori chicken, burger",11,1,0,18,36.8
"veg biryani, tandoori chicken",4,0,0,16,30.0
"paneer butter masala, pizza",12,0,0,16,32.1
"chicken biryani, masala dosa, paneer butter masala",9,0,0,2,26.7
masala dosa,22,0,1,17,30.2
"pasta, naan",21,0,0,13,31.6
"pasta, veg biryani",6,0,0,13,28.9
masala dosa,5,0,0,9,22.6
"paneer butter masala, tandoori chicken, naan",21,1,0,17,41.3
"naan, veg biryani",19,0,0,15,27.1
burger,16,0,0,8,18.7
"masala dosa, fried rice, chicken biryani",10,0,0,7,24.6
"pasta, chicken biryani",10,0,0,3,19.0
"naan, burger, masala dosa",17,0,1,4,33.2
"naan, chicken biryani",13,0,0,13,31.7
"pasta, paneer butter masala, chicken biryani",8,1,0,1,26.4
naan,7,0,0,18,23.8
"veg biryani, masala dosa",18,0,0,7,23.8
tandoori chicken,15,0,0,11,21.2
"naan, tandoori chicken, masala dosa",11,0,0,3,28.4
"masala dosa, fried rice, burger",14,0,0,2,26.3
"pasta, chicken biryani",12,0,0,13,32.1
burger,7,0,0,19,23.9
"masala dosa, paneer butter masala",9,1,0,15,31.6
pasta,17,0,0,2,10.2
"chicken biryani, masala dosa, tandoori chicken",11,0,0,6,28.0
"pizza, paneer butter masala, burger",4,0,0,13,30.5
"pizza, paneer butter masala, tandoori chicken",0,1,0,13,36.6
"pizza, pasta, masala dosa",18,1,0,12,30.7
pasta,13,1,0,4,23.1
"pizza, paneer butter masala, masala dosa",0,0,1,15,38.9
pizza,8,0,1,18,30.5
"burger, paneer butter masala",7,0,0,7,22.8
chicken biryani,13,0,0,6,24.1
"fried rice, paneer butter masala",2,1,0,7,24.5
"chicken biryani, burger, tandoori chicken",9,1,0,7,31.6
paneer butter masala,6,0,0,7,16.0
paneer butter masala,23,0,0,6,17.7
"masala dosa, tandoori chicken, paneer butter masala",16,0,0,5,28.1
chicken biryani,16,1,1,14,32.3
"tandoori chicken, naan, burger",10,0,0,9,33.9
"tandoori chicken, pasta, veg biryani",12,0,0,1,33.5
"paneer butter masala, tandoori chicken, masala dosa",9,0,0,9,28.9
"veg biryani, pizza",19,0,0,14,28.7
"paneer butter masala, chicken biryani",12,0,0,14,28.4
"tandoori chicken, pasta, chicken biryani",16,0,0,15,33.0
tandoori chicken,11,0,0,1,12.8
"paneer butter masala, masala dosa, fried rice",21,0,1,16,48.3
tandoori chicken,22,1,0,11,24.6
burger,15,0,0,5,15.4
"pasta, paneer butter masala",0,0,0,14,28.9
"veg biryani, masala dosa, pizza",15,0,0,7,28.2
pasta,21,0,0,17,27.4
veg biryani,23,0,0,6,17.4
"burger, pasta",4,0,0,1,23.1
"tandoori chicken, paneer butter masala",16,1,1,17,38.7
pizza,16,1,0,5,20.6
"naan, veg biryani, paneer butter masala",5,0,0,10,31.1
chicken biryani,19,1,0,11,26.3
chicken biryani,20,0,0,4,19.3
"naan, paneer butter masala",15,0,0,18,28.0
pasta,0,0,0,14,23.7
paneer butter masala,15,0,0,11,19.3
"tandoori chicken, pasta, paneer butter masala",16,1,0,2,28.6
masala dosa,17,0,1,12,24.9
"naan, pasta",9,0,0,10,30.7
"pasta, chicken biryani, fried rice",14,0,0,12,28.2
"tandoori chicken, pizza, paneer butter masala",11,1,1,14,42.7
fried rice,19,1,0,4,21.7
"paneer butter masala, masala dosa",4,0,1,4,26.5
"veg biryani, burger",1,1,0,17,28.0
chicken biryani,21,0,0,11,25.7
pasta,0,0,0,14,22.0
"pasta, paneer butter masala",3,0,0,4,20.8
"fried rice, masala dosa, chicken biryani",9,0,0,1,23.2
"naan, chicken biryani",6,0,0,9,27.7
"naan, tandoori chicken",1,0,0,16,28.4
veg biryani,1,0,0,13,25.4
tandoori chicken,6,0,0,3,13.9
"tandoori chicken, fried rice",14,0,0,8,22.5
"paneer butter masala, masala dosa",23,0,0,2,18.8
burger,5,0,1,1,24.9
burger,6,0,0,16,23.3
veg biryani,19,0,0,19,27.2
tandoori chicken,10,0,0,11,21.8
"naan, fried rice, veg biryani",17,0,0,4,30.5
"tandoori chicken, pasta, pizza",8,0,0,17,33.2
"tandoori chicken, pizza",7,0,0,19,27.8
"paneer butter masala, masala dosa",22,0,0,3,19.7
paneer butter masala,4,0,0,19,25.8
"masala dosa, tandoori chicken",5,0,0,12,28.2
pizza,17,0,0,3,14.0
"masala dosa, paneer butter masala, pasta",2,0,0,12,31.1
veg biryani,22,1,0,4,22.4
"naan, veg biryani, pizza",11,0,0,4,30.2
"chicken biryani, fried rice, masala dosa",20,1,0,9,36.9
masala dosa,18,0,0,11,20.7
"paneer butter masala, masala dosa",2,0,0,11,25.3
"masala dosa, pasta, naan",2,1,1,3,33.7
masala dosa,4,0,0,14,21.0
"pasta, tandoori chicken, paneer butter masala",14,0,0,12,28.2
